numero,code,nom_commercial,groupe_therapeutique,prix_fcfa
19,8054001,ACIDE ACETYLSALICYLIQUE UBI CP 500 MG PLAQUETTE DE 10,ANTALGIQUE/ANTIPYRETIQUE,96.0
20,8513928,ACILIN AMP INJ 40 MG B/l,"GASTRO.E.H., ULCERE GASTRODUODENAL",4330.0
21,3461648,ACILOC AMP INJ 25 MG B/5,"GASTRO.E.H., ULCERE GASTRODUODENAL",3610.0
22,3347614,A-CIN CP PELL 500 MG B/3,"ANTIBIOTIQUE, MACROLIDE",3475.0
23,8066582,ACLAV PDRE P SUSP BUV 100MG FL/100ML,"ANTIBIOTIQUE, PENICILLINE",3265.0
24,8066553,ACLAV PDRE P SUSP BUV 1G/SACHET B/12,"ANTIBIOTIQUE, PENICILLINE",5581.0
25,8066547,ACLAV PDRE P SUSP BUV 500 MG/SACH B/12,"ANTIBIOTIQUE, PENICILLINE",5540.0
26,8091769,ACLIN GEL 1%TUBE/15G,"DERMATOLOGIE, ANTIBACTERIEN LOCAL",3226.0
27,3096673,ACLOGEL GEL P APPL LOC T/30 G,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),1821.0
28,3136911,ACLOP CP 100MG/500MG B/l 0,ANTALGIQUE/ANTIPYRETIQUE + AINS,2235.0
29,8550160,ACLOPOL COMPRIMES 500MG/100MG B/20,ANTALGIQUE/ANTIPYRETIQUE + AINS,1240.0
30,3000549,ACTAPULGITE PDRE P SUSP BUV 3 G/SACH B/30,"GASTRO.E.H., ANTIACIDE ET PANSEMENT GASTROINTESTINAL",4120.0
31,3282499,ACTAPULGITE PED PDRE P SUSP BUV ENF B/20 SACH,"GASTRO.E.H., ANTIACIDE ET PANSEMENT GASTROINTESTINAL",1845.0
32,3000710,ACTICARBINE CP ENR B/42,ANTISPASMODIQUE,1575.0
33,3197718,ACTIFED CP B/20,"ORL,ANTI-GRIPPE,ANTI-RHUME",1430.0
34,8109825,ACTINACCP 100 MG B/10,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2580.0
35,8018383,ACTINAC PLUS CP ENR B/10,ANTALGIQUE/ANTIPYRETIQUE + AINS,2030.0
36,3248232,ACTPRO AL CP 20 MG /120 MG B/24,"PARASITOLOGIE, ANTIPALUDIQUE",3100.0
37,3334463,ACTRAPID HM 100UI SOL INJ 100UI/ML FL/3ML PENFILL,ANTIDIABETIQUES ( INSULINES),39720.0
38,4025652,ACTRAPID HM SOL INJ 100 UI/ML FL/10 ML,ANTIDIABETIQUES ( INSULINES),7575.0
39,3364079,ACUILIX CP ENR B/28,"ANTIHYPERTENSEUR,INHIBITEUR ENZYME DE CONVERSION, DIURETIQUE",8295.0
40,3317223,ACUITEL CP ENR 20 MG B/28,"ANTIHYPERTENSEUR, INHIBITEUR DE L'ENZYME DE CONVERSION",18930.0
41,3317252,ACUITEL CP ENR 5 MG B/28,"ANTIHYPERTENSEUR, INHIBITEUR DE L'ENZYME DE CONVERSION",6640.0
42,3080399,ACUMOL CP PELL B/20,ANTALGIQUE/ANTIPYRETIQUE + AINS,4165.0
43,5900010,ACUPAN AMP INJ B/5,ANTALGIQUE/ANTIPYRETIQUE,3667.0
44,3381694,ACURE CP 80/480MG B/6,"PARASITOLOGIE, ANTIPALUDIQUE",2100.0
45,3320654,ACURE CP DISP 20MG/120 MG B/6,"PARASITOLOGIE, ANTIPALUDIQUE",1380.0
46,3405921,ACURE CP DISP 40MG/240MG B/6,"PARASITOLOGIE, ANTIPALUDIQUE",1850.0
47,3446524,ACURE CP DISPERS 60MG/360 B/6,"PARASITOLOGIE, ANTIPALUDIQUE",2271.0
48,3381731,ACURE PDRE P SUSP BUV 20MG/120MG NOURRISSON FL/30ML,"PARASITOLOGIE, ANTIPALUDIQUE",1550.0
49,3381779,ACURE PDRE P SUSP BUV 40MG/240MG ENFT FL/30ML,"PARASITOLOGIE, ANTIPALUDIQUE",2027.0
50,3388495,ACURE PDRE P SUSP BUV 60MG/360MG FL/30ML,"PARASITOLOGIE, ANTIPALUDIQUE",2096.0
51,8040714,ACYCLOVIR DENK CP 200 MG B/25,ANTIVIRAUX,9710.0
52,2270005,ACYCLOVIR DENK CREME5%T/7G,ANTIVIRAUX,4715.0
53,3223479,ADALATE GELULE 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",4110.0
54,3362330,ADALATE LA CP 30 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",12395.0
55,3627204,ADIONE COMP B/10,"GASTRO E H , NAUSEES ET VOMISSEMENT",2600.0
56,3153796,ADRIBLASTINE AMP INJ 10 MG B/l,"CANCEROLOGIE, ANTINEOPLASIQUE",17855.0
57,3153804,ADRIBLASTINE AMP INJ 50 MG B/l,"CANCEROLOGIE, ANTINEOPLASIQUE",44695.0
58,3317723,ADRIDECP2MG B/30,SULFAMIDE ANTIDIABETIQUE,2510.0
59,3317761,ADRIDECP4MG B/30,SULFAMIDE ANTIDIABETIQUE,4165.0
60,3317808,ADRIDE M CP PELL 2MG/500MG B/30,AUTRES ANTIDIABETIQUES,6105.0
61,9000444,ADVIL SIROP FL/200 ML,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2675.0
62,3364062,ADVILMED SUSP BUV 20MG/ML FL/200ML,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2680.0
63,3595347,AERIUS SIROP FL/60 ML,"ALLERGOLOGIE,ANTIHISTAMINIQUE",4165.0
64,9283011,AEROLSUSP P INHAL 100 MCG FL/200 DOSES,"PNEUMOLOGIE, ANTIASTHMATIQUE",2925.0
65,8076681,AFATA CP 100MG/500MG B/20,ANTALGIQUE/ANTIPYRETIQUE + AINS,4160.0
66,8508962,AFINE CP PELL 500 MG B/l 0,"ORL,ANTI-GRIPPE,ANTI-RHUME",960.0
67,8003825,AFLACIN CY FL/5 ML,"OPHTALMOLOGIE, ANTIBACTERIENS LOCAUX",1931.0
68,3080436,AFSC KIT 1 G/l G/l 50MG CP B/4,"INFECTIOLOGIE, DIVERS ANTIBACTERIENS",4990.0
69,6110202,AGIDERM CREME 2% T/l 5 G,"DERMATOLOGIE, ANTIBACTERIEN LOCAL",2135.0
70,6110870,AGIDERM PDE2%T 15G,"DERMATOLOGIE, ANTIBACTERIEN LOCAL",1900.0
71,8594246,AGIFENE GEL 5% TUBE DE 50G,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2220.0
72,3992630,AGIFENE SUSP BUV FL/150 ML,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2070.0
73,3348838,AGYRAXCP25MG B/15,"NEUROLOGIE, ANTIVERTIGINEUX",4620.0
74,8594312,AIRLIX CP 10 MG B/15,ALLERGOLOGIEzANTIHISTAMINIQUE,2235.0
75,8594252,AIRLIX SOL BUVABLE 1MG/ML FL/60ML,ALLERGOLOGIEzANTIHISTAMINIQUE,1615.0
76,2023873,AIRTAL CP 100 MG B/40,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),12703.0
77,3993064,AKEROL CP 5 MG B/20,ALLERGOLOGIEzANTIHISTAMINIQUE,4505.0
78,3993017,"AKEROL SIROP 2,5MG/5ML FL/60ML",ALLERGOLOGIEzANTIHISTAMINIQUE,3475.0
79,5612020,ALBENDOL SUSP BUV 4% FL/10 ML,"PARASITOLOGIE, ANTHELMINTIQUE",725.0
80,3262535,ALBIZOL SUSP BUV FL/10 ML,"PARASITOLOGIE, ANTHELMINTIQUE",1065.0
81,8083818,ALCER CP 40 MG B/30,"GASTRO.E.H., ULCERE GASTRODUODENAL",6311.0
82,9228801,ALCER-D GELULE B/10,"GASTRO ENTER, ANTI ACIDE ET PANSEMENT GASTRO-INTESTINAL",3445.0
83,3002152,ALDACTAZINE CP ENR B/20,"ANTIHYPERTENSEUR, DIURETIQUE",4600.0
84,3272503,ALDACTONE CP ENR 50 MG B/20,"UROLOGIE NEPHROLOGIE, DIURETIQUES",5325.0
85,3260799,ALDACTONE CP ENR 75 MG B/20,"UROLOGIE NEPHROLOGIE, DIURETIQUES",7985.0
86,3002198,ALDOMET CP ENR 250 MG B/30,ANTIHYPERTENSEUR D'ACTION CENTRALE,2591.0
87,3173801,ALDOMET CP ENR 500 MG B/30,ANTIHYPERTENSEUR D'ACTION CENTRALE,5948.0
88,8524240,ALEMONT CP PELLICULES 5MG/10MG B/10,"ALLERGOLOGIE,ANTIHISTAMINIQUE",1077.0
89,3289610,ALEPSAL CP 100 MG B/30,"NEUROLOGIE, ANTIEPILEPTIQUES",2645.0
90,3002229,ALEPSAL CP 50 MG B/30,"NEUROLOGIE, ANTIEPILEPTIQUES",1695.0
94,3389270,ALFACURE CP 80/480 MG B/6,"PARASITOLOGIE, ANTIPALUDIQUE",2511.0
95,3389256,ALFACURE CP DISP 20MG/120 MG B/6,"PARASITOLOGIE, ANTIPALUDIQUE",746.0
96,3234434,ALFAMOX PDRE P SUSP BUV 250MG FL/100ML,"ANTIBIOTIQUE, PENICILLINE",1960.0
97,3234426,ALFAMOX PDRE P SUSP BUVABLE 500MG B/14,"ANTIBIOTIQUE, PENICILLINE",2647.0
98,3234433,ALFAMOX PDTRE POUR SUSP BUVABLE 1G B/14,"ANTIBIOTIQUE, PENICILLINE",3750.0
99,8093030,ALFER CPB/30,"HEMATOLOGIE, ANTIANEMIQUES",2755.0
100,8097677,ALFER SIROP FL/200 ML,"HEMATOLOGIE, ANTIANEMIQUES",2785.0
101,3002318,ALGESAL SURACTIVE CREME T/40 G,"RHUMATOLOGIE, DOULEURS D'ORIGINE MUSCULAIRE",2960.0
102,6001356,ALGESIC CP 1 G B/8,ANTALGIQUE/ANTIPYRETIQUE,827.0
103,6001851,ALGESIC CP 500 MG B/20,ANTALGIQUE/ANTIPYRETIQUE,455.0
104,6001455,ALGESIC EXTRA CP 500MG/65MG B/l 6,ANTALGIQUE/ANTIPYRETIQUE,1102.0
105,3331909,ALGISEDAL CP B/l 6,"ANTALGIQUE/ANTIPYRETIQUE, ASSOCIATION CONTENANT UN OPIACE",1890.0
106,8068552,ALGIXENE SUPPO 500 MG B/l 2,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2620.0
107,9078001,ALLCOLD SIROP FL/100 ML,"ORL, ANTIGRIPE, ANTI RHUME",1240.0
108,5015733,ALLERCETCP 10 MG B/10,"ALLERGOLOGIE,ANTIHISTAMINIQUE",1711.0
109,5612030,ALLERCET SIROP FL/100 ML,"ALLERGOLOGIE,ANTIHISTAMINIQUE",3075.0
110,5610040,ALLERCROM CY FL/5 ML,"OPHTALMOLOGIE, ANTIALLERGIQUES LOCAUX",2625.0
111,3476720,"ALLERGODIL COLLYRE 0,05% FL/6ML","OPHTALMOLOGIE, ANTIALLERGIQUES LOCAUX",3750.0
112,9023361,ALLERGOSONE SOL GTTE BUV FL/30 ML,ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),3390.0
113,3221181,ALLERGYL CP 25MG PLAQUETTE DE 10,"ALLERGOLOGIE,ANTIHISTAMINIQUE",348.0
114,2291059,"ALLERGYL SIROP 0,1% FL/60 ML","ALLERGOLOGIE,ANTIHISTAMINIQUE",665.0
115,3209042,ALLERTIN COMP 10MG B/10,"ALLERGOLOGIE, ANTIHISTAMINIQUE",1665.0
116,3564660,ALLNAT PDRE P P INJ 120 MG B/l,"PARASITOLOGIE, ANTIPALUDIQUE",2813.0
117,3564653,ALLNAT PDRE P SOL INJ 60MG B/l,"PARASITOLOGIE, ANTIPALUDIQUE",1683.0
118,3492642,ALM DS CP 80/480 MG B/6,"PARASITOLOGIE, ANTIPALUDIQUE",2165.0
119,8416421,ALMAX FORTE SUSP BUV B/30 SACH,"GASTRO.E.H., ANTIACIDE ET PANSEMENT GASTROINTESTINAL",4438.0
120,8416438,ALMAX SUSP BUV FL/225ML,"GASTRO.E.H., ANTIACIDE ET PANSEMENT GASTROINTESTINAL",3102.0
121,3328646,"ALMIDECY 0,l%FL/5ML","OPHTALMOLOGIE, ANTIALLERGIQUES LOCAUX",4390.0
122,3145067,ALOFACT CP 100MG/500MG B/20,ANTALGIQUE/ANTIPYRETIQUE + AINS,4165.0
123,8084143,ALOX CP B/40,"GASTRO.E.H., ANTIACIDE ET PANSEMENT GASTROINTESTINAL",2065.0
124,3553022,ALRAT CP PELL 5MG B/l5,"ALLERGOLOGIE,ANTIHISTAMINIQUE",2870.0
125,999079,"ALRAT SIROP 0,5MG/ML FL/60ML","ALLERGOLOGIE, ANTIHISTAMINIQUE",2500.0
126,3135798,"ALTIM SUSP INJ 3,75 MG B/l",ANTI-INFLAMMATOIRE STEROÏDIEN (AIS),5085.0
127,8086449,ALTRAFLAM CP 100 MG B/l 0,ANTI-INFLAMMATOIRE NON STEROÏDIEN (AINS),2303.0
128,188200,ALTRIM FORTE COMPRIME 960MG B/9,"ANTIBIOTIQUE, SULFAMIDE",1695.0
129,8440431,ALUCONE SUSP BUVABLE FL/200ML,GASTRO E.H ANTI ACIDE ET PANSEMENT GASTRO INTESTINAL,2245.0
130,8036256,ALVIR CP 200 MG B/30,ANTIVIRAUX,8010.0
131,5613040,AMADAY CP 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",7815.0
132,8071874,AMADAY CP 5 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",4989.0
133,3460641,AMADAY PL CP 10MG/4MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,9675.0
134,3460665,AMADAY PL CP 5MG/4MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,8640.0
135,3460658,AMADAY PL CP 5MG/8MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,9330.0
136,3460634,AMADAY PL CP10MG/8MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,10017.0
137,8084858,AMAPINECP 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",6367.0
138,8084640,AMAPINECP5 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",4715.0
139,3421021,AMAREL CP 1 MG B/30,SULFAMIDE ANTIDIABETIQUE,4245.0
140,3421031,AMAREL CP 2 MG B/30,SULFAMIDE ANTIDIABETIQUE,5720.0
141,3421044,AMAREL CP 3 MG B/30,SULFAMIDE ANTIDIABETIQUE,7470.0
142,5015725,AMAREL CP 4 MG B/30,SULFAMIDE ANTIDIABETIQUE,13392.0
143,8097447,AMARYL -M CP PELL 1MG/250MG B/30,AUTRES ANTIDIABETIQUES,4405.0
144,8097482,AMARYL -M CP PELL 2MG/500MG B/30,AUTRES ANTIDIABETIQUES,6590.0
145,3067931,AMARYL M CP PELL SR 2MG/500MG B/30,AUTRES ANTIDIABETIQUES,6835.0
146,3007642,AMATRIX CP 1000MG LP B/30,BIGUANIDES ANTIDIABETIQUES,2905.0
147,3007635,AMATRIX CP 850MG B/30,BIGUANIDES ANTIDIABETIQUES,2480.0
148,3007659,AMATRIX PLUS CP B/30,AUTRES ANTIDIABETIQUE,4490.0
149,8050090,AMCARDCP 10 MG B/28,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",8325.0
150,8050084,AMCARD CP 5 MG B28,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",4121.0
151,8098323,AMECIDE CP 250 MG PLAQUETTE DE 10,ANTIBIOTIQUE ET ANTIPARASITAIRE,503.0
152,8098369,AMECIDE CP PELL 500 MG B/20,ANTIBIOTIQUE ET ANTIPARASITAIRE,1535.0
153,3253435,AMECIDE OVULE 500 MG B/10,"GYNECOLOGIE,TRAITEMENT DES VU LVO VAGINITES",1790.0
154,3007435,AMEP CP 10 MG B/28,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",7705.0
155,3074411,AMEP CP 5 MG B28,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",4685.0
156,8081594,AMEP CP5MG B/14,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",4260.0
157,2299871,AMETHER DENK SUPPOCAPS B/6,"PARASITOLOGIE, ANTIPALUDIQUE",2630.0
158,9990417,AMFOCIN CP 500MG/62.5MG B/16,"ANTIBIOTIQUE, PENICILLINE",4645.0
159,9990418,AMFOCIN CP 875 MG/125 MG B/14,"ANTIBIOTIQUE, PENICILLINE",6325.0
160,3437353,AMFOCIN PDRE P SUSP BUV SACHET 1000MG/125MG B/12,"ANTIBIOTIQUE, PENICILLINE",6325.0
161,8043368,AMIBAZOL SUSP BUV FL/100 ML,ANTIBIOTIQUE ET ANTIPARASITAIRE,1825.0
162,8089519,AMIFER SIROP FL/200 ML,"HEMATOLOGIE, ANTIANEMIQUES",2895.0
163,2008514,AMIKLIN PDRE P P INJ 250 MG B/l,"ANTIBIOTIQUE, AMINOSIDE",7255.0
164,2008520,AMIKLIN PDRE P P INJ 500 MG B/l,"ANTIBIOTIQUE, AMINOSIDE",13475.0
165,8099110,AMINOHEAM SIROP FL/200 ML,"HEMATOLOGIE, ANTIANEMIQUES",4825.0
166,2263413,AMITRON GELULE 500 MG B/12,"ANTIBIOTIQUE, PENICILLINE",1410.0
167,2299049,AMLIBON CP 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",8984.0
168,2299055,AMLIBON CP 5 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",6091.0
169,2253975,AMLO DENK CP 10 MG B/50,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",11050.0
170,2253981,AMLO DENK CP 5 MG B/50,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",9120.0
171,3283097,"AMLO VH COMPRIMES PELLICULES 10MG/12,5MG/l 60MG B/30",AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,16560.0
172,3283103,AMLO VH COMPRIMES PELLICULES 10MG/25MG/160MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,16530.0
173,3283073,"AMLO VH COMPRIMES PELLICULES 5MG/12,5MG/160MG B/30",AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,16560.0
174,3283080,AMLO VH COMPRIMES PELLICULES 5MG/25MG/160MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,16560.0
175,3104491,AMLOAS-AT COMPRIMES PELLICULES 5MG/50MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,5815.0
176,2473680,AMLOCIAN 10MG CP B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",5705.0
177,2473687,AMLOCIAN 5MG CP B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",4145.0
178,3090824,AMLOCLASS CP 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",2235.0
179,3090862,AMLOCLASS CP 5 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",1685.0
180,3379776,AMLODIPINE BIOGARAN GELULE 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",5040.0
181,3379773,AMLODIPINE BIOGARAN GELULE 5 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",4560.0
182,2471854,AMLODIPINE GH CP 10 MG B/28,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",4950.0
183,3526286,AMLODIPINE GH CP 5 MG B28,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",3090.0
184,3104538,AMLODIPINE GP CP 10 MG B/60,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",6640.0
185,3320419,AMLODIPINE GP CP 5MG B/60,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",3336.0
186,1448691,AMLODIPINE VIR COMP 10MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",5190.0
187,1448701,AMLODIPINE VIR COMP 5MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",4160.0
188,8147323,AMLODIS CP 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",5030.0
189,8147317,AMLODIS CP 5 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",3530.0
190,8076988,AMLONG - 10 CP 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",9880.0
191,8087638,AMLONG - A CP B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,11370.0
192,8076960,AMLONG-5 CP 5 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",5802.0
193,8127349,AMLOPERIN CP 10MG/10MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,12430.0
194,8127365,AMLOPERIN CP 10MG/5MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,12430.0
195,8127361,AMLOPERIN CP 5MG/10MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,8715.0
196,8127378,AMLOPERIN CP 5MG/5MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,8090.0
197,3374030,AMLOPRES CP 10MG B/l 00,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",15183.0
198,3374047,AMLOPRES CP 5 MG B/l 00,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",8265.0
199,8004808,AMLOR CP 5 MG B/56,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",12385.0
200,2473654,AMLORAV-AT COMP 5MG/50MG B/30,"ANTIHYPERTENSEUR, BÊTA BLOQUANT + INHIBITEUR CALCIQUE",6985.0
201,3356272,AMLOSARTAN COMPRIMES PELLICULES 5MG/50MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,6435.0
202,8410950,AMLOSTAR CP 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",6920.0
203,8410996,AMLOSTAR CP 5 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",5540.0
204,3339732,AMLOSTAR PLUS COMPRIMES PELLICULES 5MG/50MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,8846.0
205,3424346,AMLOSTAT COMP 10MG/10MG B/30,"CARDIOLOGIE, ANTIHYPERTENSEUR",9300.0
206,3323038,AMLOSTAT COMP 5MG/10MG B/30,"CARDIOLOGIE, ANTIHYPERTENSEUR",6750.0
207,8715655,AMLOTEL COMP 10MG/40MG B/30,ASSOCIATION DE PLUSIEURS ANTIHYPERTENSEURS,8545.0
208,8715657,AMLOTEL COMP 10MG/80MG B/30,ASSOCIATION DE PLUSIEURS ANTIHYPERTENSEURS,11280.0
209,8715653,AMLOTEL COMP 5MG/40MG B/30,ASSOCIATION DE PLUSIEURS ANTIHYPERTENSEURS,7080.0
210,8715654,AMLOTEL COMP 5MG/80MG B/30,ASSOCIATION DE PLUSIEURS ANTIHYPERTENSEURS,9575.0
211,3356319,AMLOTENSINE CP 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",4576.0
212,8091261,AMLOTENSINE CP 5 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",4576.0
213,3428559,AMLOTROY 10 CP 10 MG B/30,ANTIHYPERTENSEUR. INHIBITEUR CALCIQUE,6890.0
214,3428573,AMLOTROY 5 CP 5 MG B/30,ANTIHYPERTENSEUR. INHIBITEUR CALCIQUE,4190.0
215,8069244,AMLOVAS CP 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",6120.0
216,2277272,AMLOVAS CP 5 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",4650.0
217,3991930,AMLOWEL CP SEC 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",8530.0
218,8025465,AMLOZAAR CP 50MG/5MG B/30,AUTRES ASSOCIATIONS D'ANTIHYPERTENSEURS,15025.0
219,8084433,AMLOZAAR-H CP PELLICULES 5MG/50MG/12.5MG B/30,AUTRES ASSOCIATIONS D’ANTIHYPERTENSEURS,13295.0
220,8103811,AMOCLAN PDRE P P INJ 1000 MG B/l,"ANTIBIOTIQUE, PENICILLINE",2550.0
221,8070371,AMOCLAN BID CP 875 MG/125 MG B/l 4,"ANTIBIOTIQUE, PENICILLINE",7055.0
222,8103797,AMOCLAN BID PDRE P SUSP BUV 457 MG FL/70 ML,"ANTIBIOTIQUE, PENICILLINE",5265.0
223,8103780,AMOCLAN BID PDRE SUSP BUV 200MG/285.5MG FL/70ML,"ANTIBIOTIQUE, PENICILLINE",3610.0
224,8055615,AMOCLAN FORTE CP 500 MG/125 MG B/15,"ANTIBIOTIQUE, PENICILLINE",5955.0
225,8052479,AMOCLAN FORTE PDRE P SUSP BUV 312MG FL/60ML,"ANTIBIOTIQUE, PENICILLINE",4300.0
226,8103805,AMOCLAN PDRE P P INJ 500 MG B/l,"ANTIBIOTIQUE, PENICILLINE",1875.0
227,6283041,AMOCLASS CP 10 MG B/30,"ANTIHYPERTENSEUR, INHIBITEUR CALCIQUE",7870.0
228,3234520,AMODEX GELULE 500 MG B/l 2,"ANTIBIOTIQUE, PENICILLINE",1230.0
229,3234537,AMODEX PDRE P SUSP BUV 250 MG/5 ML FL/60 ML,"ANTIBIOTIQUE, PENICILLINE",1280.0
230,8037238,AMODEX SUSP BUV 125MG FL/60ML,"ANTIBIOTIQUE, PENICILLINE",1030.0
231,8018146,AMOSEC CP PELL 1000 MG B/2,ANTIBIOTIQUE ET ANTIPARASITAIRE,2660.0
232,8071198,AMOXI DENK CP 1000MG B/l 0,"ANTIBIOTIQUE, PENICILLINE",2785.0
